t,c_hash,c_olap_mode,c_pgc,c_todo,c_wal_variant,c_graveyard,c_wal_io_hack,c_wal_fsync,c_wal_rfa,c_mv,c_wal,c_btree_hints,c_smt,c_history_tree_inserts,c_worker_threads,c_pp_threads,c_bulk_insert,tpcc_threads,c_wal_log_writers,c_tag,c_isolation_level,c_ssd_gib,run_until_tx,ch_a_start_delay_sec,c_zipf_factor,c_btree_prefix_compression,c_pin_threads,ch_a_process_delay_sec,ch_a_query,c_vi_fat_tuple_alternative,c_target_gib,ch_a_threads,tpcc_warehouse_affinity,ch_a_rounds,c_xmerge,tpcc_warehouse_count,c_vi,c_xmerge_target_pct,c_free_pct,c_partition_bits,c_vi_fat_tuple,c_dram_gib,c_run_for_seconds,c_nc_reallocation,c_xmerge_k,c_contention_split,c_cm_update_on,c_cm_period,c_wal_tuple_rfa,c_btree_heads,c_cm_slowpath_threshold
57,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
58,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
59,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
60,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
61,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
62,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
63,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
64,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
65,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
66,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
67,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
68,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
69,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
70,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
71,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
72,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
73,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
74,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
75,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
76,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
77,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
78,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
0,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
1,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
2,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
3,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
4,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
5,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
6,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
7,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
8,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
9,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
10,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
11,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
12,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
13,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
14,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
15,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
16,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
17,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
18,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
19,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
20,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
21,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
22,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
23,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
24,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
25,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
26,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
27,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
28,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
29,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
30,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
31,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
32,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
33,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
34,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
35,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
36,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
37,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
38,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
39,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
40,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
41,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
42,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
43,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
44,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
45,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
46,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
47,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
48,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
49,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
50,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
51,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
52,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
53,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
54,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
55,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
56,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
57,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
58,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
59,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
60,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
61,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
62,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
63,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
64,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
65,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
66,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
67,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
68,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
69,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
70,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
71,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
72,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
73,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
74,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
75,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
76,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
77,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
78,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
79,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
80,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
81,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
82,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
83,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
84,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
85,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
86,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
87,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
88,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
89,8952077520398504792,1,1,1,3,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
